1;João;3.4;9.9;0.2
2;Maria;6.7;7.5;8.1
3;Pedro;4.7;0.5;3.0
4;Ana;7.9;6.2;1.4
5;Lucas;3.3;6.6;8.8
6;Beatriz;6.6;5.0;3.2
7;Fernanda;0.4;1.2;3.6
8;Carlos;3.4;9.1;8.8
9;Mariana;0.5;8.3;2.1
10;Paulo;7.4;5.9;8.6
11;Gabriel;0.7;2.2;2.9
12;Laura;9.2;6.0;4.5
13;Rafael;3.5;3.1;9.9
14;Camila;1.0;2.7;8.1
15;Felipe;5.0;2.4;3.7
16;Juliana;3.3;6.4;6.9
17;Rodrigo;8.6;2.5;2.8
18;Amanda;0.7;2.2;2.2
19;Thiago;3.8;9.7;1.3
20;Patrícia;0.7;9.5;7.8
21;André;0.9;3.9;9.8
22;Larissa;7.3;6.5;3.9
23;Vinícius;8.7;4.8;2.0
24;Aline;1.7;4.1;3.4
25;Gustavo;7.9;9.9;8.9
26;Isabela;5.8;0.6;9.3
27;Renato;7.4;8.4;7.2
28;Sofia;1.1;2.4;6.7
29;Daniel;7.9;7.1;3.1
30;Vanessa;5.9;3.4;5.7
31;Ricardo;7.9;2.2;4.5
32;Letícia;2.0;8.3;7.2
33;Eduardo;4.3;4.1;1.9
34;Carolina;5.8;9.0;7.9
35;Marcelo;6.4;9.5;2.9
36;Natália;9.3;9.5;0.4
37;Diego;4.3;8.0;5.7
38;Jéssica;5.2;3.6;6.1
39;Fábio;3.3;9.6;1.3
40;Bianca;9.3;7.8;2.8
41;Leonardo;5.4;6.8;0.8
42;Roberta;6.8;6.3;9.5
43;Henrique;8.4;2.4;9.4
44;Tatiane;5.3;8.3;4.7
45;Samuel;4.9;1.9;6.2
46;Clara;0.3;5.1;2.6
47;Mateus;10.0;10.0;2.2
48;Evelyn;4.2;5.2;3.9
49;Bruno;6.9;8.1;3.3
50;Helena;6.1;5.9;5.1
